name	rva	size	record
`nvngx::dlss_nr::D3D12Backend::Prepare'::`1'::dtor$0	0xb9780	12	0x110f
`nvngx::dlss_nr::D3D12Backend::Prepare'::`1'::dtor$3	0xb9780	12	0x110f
`nvngx::dlss_nr::D3D12Backend::Shutdown'::`1'::dtor$2	0xb9780	12	0x110f
`DX12SwapChain::ResizeENBScene'::`1'::dtor$6	0xb97c0	12	0x110f
`OSD::EnsureResources'::`1'::dtor$3	0xb97c0	12	0x110f
`ReShadeDepth::Capture'::`1'::dtor$8	0xb97c0	12	0x110f
`Upscaling::CaptureDLSSGInputs'::`1'::dtor$1	0xb97c0	12	0x110f
`Upscaling::CaptureNRAfterSRGuides'::`1'::dtor$1	0xb97c0	12	0x110f
`Upscaling::CaptureNRMotion'::`1'::dtor$1	0xb97c0	12	0x110f
`D3D11D3D12SharedTexture::D3D11D3D12SharedTexture'::`1'::dtor$2	0xb97d0	12	0x110f
`D3D12UIComposite::EnsureResources'::`1'::dtor$4	0xb97d0	12	0x110f
`OSD::Render'::`1'::dtor$2	0xb97d0	12	0x110f
`Upscaling::UpdateRenderTargets'::`1'::dtor$0	0xb97d0	12	0x110f
``Upscaling::Upscale'::`2'::<lambda_8>::operator()'::`1'::dtor$9	0xb97d0	12	0x110f
`D3D12UIComposite::EnsureResources'::`1'::dtor$5	0xb97e0	12	0x110f
`OSD::Render'::`1'::dtor$1	0xb97e0	12	0x110f
`Upscaling::UpdateRenderTargets'::`1'::dtor$1	0xb97e0	12	0x110f
`D3D12UIComposite::EnsureResources'::`1'::dtor$6	0xb97f0	12	0x110f
`DX12SwapChain::CreateSwapChain'::`1'::dtor$2	0xb97f0	12	0x110f
`DX12SwapChain::CreateSwapChain'::`1'::dtor$4	0xb97f0	12	0x110f
`DX12SwapChain::CreateSwapChain'::`1'::dtor$6	0xb97f0	12	0x110f
`DX12SwapChain::CreateSwapChain'::`1'::dtor$8	0xb97f0	12	0x110f
`ReShadeDepth::Capture'::`1'::dtor$1	0xb97f0	12	0x110f
`D3D12UIComposite::EnsureResources'::`1'::dtor$7	0xb9800	12	0x110f
`OSD::UpdateTexture'::`1'::dtor$0	0xb9800	12	0x110f
`ReShadeDepth::Capture'::`1'::dtor$3	0xb9800	12	0x110f
`D3D12UIComposite::EnsureResources'::`1'::catch$15	0xb9810	193	0x110f
``Upscaling::Upscale'::`2'::<lambda_9>::operator()'::`1'::dtor$0	0xb9950	12	0x110f
`nvngx::dlss_nr::D3D12Backend::D3D12Backend'::`1'::dtor$0	0xb9960	12	0x110f
